gbifID,stateProvince,county,municipality,locality,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,reverse_geocode_display_name,match? 
122994729,Florida,Palm Beach,,"9034 SW 5th Street, Boca Raton","9034 SW 5th Street, Boca Raton",30.65701,-85.03763,50,"I 10, Jackson County, Florida, United States",no -different location in FL
894984579,Massachusetts,,,"Daymon Road near railroad, Northampton",,42.338,-72.63613,150,"19, Damon Road, Northampton, Hampshire County, Massachusetts, 01060, United States",yes
1086616831,Massachusetts,,Hampshire,"Daymon Road near railroad, Northampton.",,42.338,-72.63613,70,"19, Damon Road, Northampton, Hampshire County, Massachusetts, 01060, United States",yes
1258875037,Massachusetts,Hampshire,,"Waste ground, daymon rd near railroad, northampton.",,42.338,-72.63613,150,"19, Damon Road, Northampton, Hampshire County, Massachusetts, 01060, United States",yes
1269671041,Louisiana,Orleans,,At Jct. of Hwy 11 and IH-10,,30.15105,-89.85825,400,"Ponchartrain Expressway, Irish Bayou, New Orleans, Orleans Parish, Louisiana, United States",yes
1269671048,Louisiana,East Baton Rouge,,Profit Island.,,30.585,-91.28559,2470,"East Baton Rouge Parish, Louisiana, United States",yes
1269671055,Louisiana,East Baton Rouge,,"BREC Horse Activity Center on River Road, Baton Rouge.",,30.38375,-91.21052,1300,"Farr Park Equestrian Center and RV Campground, 6402, River Road, Baton Rouge, East Baton Rouge Parish, Louisiana, 70820, United States",yes
1269671059,Louisiana,Ouachita,,In median of I-20 just West of Thomas Road exit in West Monroe.,,32.50862,-92.16164,500,"I 20, West Monroe, Ouachita Parish, Louisiana, 71291, United States",yes
1269671063,Louisiana,Tangipahoa,,"Along LA 16, 5.2 road miles west of Tchefuncte River. East of Holton.",,30.74453,-90.34922,100,"22495, LA 16, Holton, Tangipahoa Parish, Louisiana, 70422, United States",yes
1269671071,Louisiana,Saint Helena,,About 1 1/4 mi E of Pine Grove.,,30.70908,-90.72605,800,"351, Golden Gurnsey Road, Saint Helena Parish, Louisiana, 70453, United States",
