id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,recordSecurity,securityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,
5142612,A,A,,PreservedSpecimen,6c46075d-c1bf-48e9-932f-4be3d2a29a62,barcode-00404902,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,"Moyer, Pamela",,,,,,,P. Moyer,,69,11/7/71,,1971,11,7,311,,7/11/71-8/6/71,,,,,,,69,,,,"""{\\""huh_taxonomic_group\\"": \\""Vascular\\"", \\""huh_project_id\\"": null, \\""huh_project_name\\"": null}""",,,,NotDetermined,,,,undetermined,,,Sheet,,North America,,,,United States of America,US,California,Butte County,,Lot between stadium and parking lot,,0,,39.73072,-121.85202,WGS84,350,,,,,,,61,,,,,200 ft.,in collection,en,,11/17/15 15:05,6c46075d-c1bf-48e9-932f-4be3d2a29a62,95,544718f3-4eb3-42a6-a02d-41d11da5ccde,https://cch2.org/portal/collections/individual/index.php?occid=5142612,https://cch2.org/portal/collections/individual/index.php?occid=5142612
3584664,BSCA,,,PreservedSpecimen,,BSCA4416,4161,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,,,,,Wild Radish,,,"Hendrickson, Larry",,296,2/17/05,,2005,2,17,48,,17-Feb-05,,,In road shoulder of State Route 78.,,,,,,,,"""Plant about 1.5 meter tall. Only one observed.""",,,,FL,,,,,,,,,North America,,,,United States,US,California,San Diego County,,Anza-Borrego Desert State Park. South side of San Felipe Wash about 0.1 mi west of the intersection with County Hwy S-3 near emergency call box #78-671.,,0,,33.1349,-116.3841,WGS84,3999,,,,,,,,,,,,442,,,,2/12/25 19:40,,48,afd15af6-68bf-4ea6-8767-528b19999f6c,https://cch2.org/portal/collections/individual/index.php?occid=3584664,https://cch2.org/portal/collections/individual/index.php?occid=3584664
2448284,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74317,74317,urn:catalog:CAS:DS:95605,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Parish, S. B.",,2642,1893-04-05,,1893,4,5,95,,5 Apr 1893.,,Grain fields.,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,San Bernardino County,,Rialto.,,0,,34.10614,-117.36956,WGS84,5000,,,,,,,,,,,,,,en,,5/16/11 14:01,urn:catalog:CAS:BOT-BC:74317,1,db4a7498-1f7d-4925-8d1d-8f4516180711,https://cch2.org/portal/collections/individual/index.php?occid=2448284,https://cch2.org/portal/collections/individual/index.php?occid=2448284
2283873,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74352,74352,urn:catalog:CAS:DS:185825,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Applegate, Elmer I.",,38,1895-04-06,,1895,4,6,96,,"April 6, 1895.",,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Santa Clara County,,Stanford University. Above Stock Farm.,,0,,37.42654,-122.18328,WGS84,1000,,,,,,,,,,,,,,en,,5/16/11 16:58,urn:catalog:CAS:BOT-BC:74352,1,e6544f39-7daa-48d3-accf-6e27d8723284,https://cch2.org/portal/collections/individual/index.php?occid=2283873,https://cch2.org/portal/collections/individual/index.php?occid=2283873
2286564,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74343,74343,urn:catalog:CAS:DS:62625,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Dudley, W. R.",,s.n.,1897-05-24,,1897,5,24,144,,"May 24, 1897.",,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Santa Clara County,,"Santa Cruz Peninsula. Near Lake Lagunita, Stanford University.",,0,,37.42241,-122.17629,WGS84,750,,,,,,,,,,,,,,en,,5/16/11 16:10,urn:catalog:CAS:BOT-BC:74343,1,de56ea59-38aa-44c2-8d18-228a10088121,https://cch2.org/portal/collections/individual/index.php?occid=2286564,https://cch2.org/portal/collections/individual/index.php?occid=2286564
2342281,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74316,74316,urn:catalog:CAS:DS:95622,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Parish, S. B.",,4540,1898-05-25,,1898,5,25,145,,25 May 1898,,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,San Bernardino County,,West Riverside.,,0,,34.00372,-117.43835,WGS84,4790,"34.00372∞ N, 117.43835∞ W",,GoogleMaps via BerkeleyMapper,GoogleMaps via BerkeleyMapper,,,,,,,,,,en,,5/16/11 14:00,urn:catalog:CAS:BOT-BC:74316,1,3129ac88-844e-430d-8b22-15b0da1cdba7,https://cch2.org/portal/collections/individual/index.php?occid=2342281,https://cch2.org/portal/collections/individual/index.php?occid=2342281
2271679,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74261,74261,urn:catalog:CAS:BOT:77372,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Carruth, W. W.",,s.n.,1902-04-00,,1902,4,0,,,Apr. 1902,,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Alameda County,,East Oakland Hills.,,0,,37.82996,-122.19844,WGS84,10000,,,,,,,,,,,,,,en,,5/13/11 15:18,urn:catalog:CAS:BOT-BC:74261,1,5fb9df59-fd43-4553-8c52-f7e4a7bed3f7,https://cch2.org/portal/collections/individual/index.php?occid=2271679,https://cch2.org/portal/collections/individual/index.php?occid=2271679
2302311,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74297,74297,urn:catalog:CAS:DS:593634,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"McMurphy, James",,69,1903-06-00,,1903,6,0,,,Jun-03,,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Mendocino County,,Kaisen District.,,0,,39.3066,-123.80618,WGS84,700,,,,,,,,,,,,,,en,,5/16/11 13:25,urn:catalog:CAS:BOT-BC:74297,1,e1eb501b-23c8-4e49-833b-894bd3444a5b,https://cch2.org/portal/collections/individual/index.php?occid=2302311,https://cch2.org/portal/collections/individual/index.php?occid=2302311
2296541,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74177,74177,urn:catalog:CAS:DS:95620,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,29701,L.,Raphanus,,raphanistrum,,,,,Species,Ihsan A. Al-Shehbaz,1/10/10,,,,,,"Braunton, Ernest",,1234,1904-09-00,,1904,9,0,,,"September, 1904",,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Amador County,,Vicinity of Ione.,,0,,38.359692,-120.932716,WGS84,6000,,,,,,,61,152,,,,200.0000000000-500.0000000000 ft,,en,,5/13/11 10:53,urn:catalog:CAS:BOT-BC:74177,1,4742ff6d-fedc-4b10-bdbd-b6eea1d51924,https://cch2.org/portal/collections/individual/index.php?occid=2296541,https://cch2.org/portal/collections/individual/index.php?occid=2296541
2390205,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74346,74346,urn:catalog:CAS:DS:62622,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Randall, Josephine D.",,123,6/21/07,,1907,6,21,172,,21-Jun-07,,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Santa Clara County,,"Santa Cruz Peninsula. Near Lake Lagunita, Stanford University.",,0,,37.42241,-122.17629,WGS84,750,,,,,,,,,,,,,,en,,5/16/11 16:27,urn:catalog:CAS:BOT-BC:74346,1,8b309ca4-921b-4480-81fe-c4ea5de6a4ac,https://cch2.org/portal/collections/individual/index.php?occid=2390205,https://cch2.org/portal/collections/individual/index.php?occid=2390205
2437901,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74235,74235,urn:catalog:CAS:DS:670922,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Dows, Barbara",,s.n.,7/12/07,,1907,7,12,193,,12-Jul-07,,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Sonoma County,,Sebastopol.,,0,,38.40299,-122.8247,WGS84,2000,,,,,,,,,,,,,,en,,5/13/11 14:39,urn:catalog:CAS:BOT-BC:74235,1,848c5c4f-958e-4c79-af9d-1dbacacb9671,https://cch2.org/portal/collections/individual/index.php?occid=2437901,https://cch2.org/portal/collections/individual/index.php?occid=2437901
2336172,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74305,74305,urn:catalog:CAS:DS:13639,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Patterson, Miss.; Wiltz",,66,6/6/07,,1907,6,6,157,,"June 6, 1907.",,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Monterey County,,Monterey Peninsula. Near bath house. Pacific Grove.,,0,,36.61798,-121.91838,WGS84,3000,,,,,,,,,,,,,,en,,5/16/11 13:38,urn:catalog:CAS:BOT-BC:74305,1,8193d577-8948-49eb-8f3c-b87b2247d6a6,https://cch2.org/portal/collections/individual/index.php?occid=2336172,https://cch2.org/portal/collections/individual/index.php?occid=2336172
2300919,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74309,74309,urn:catalog:CAS:DS:13638,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Patterson, Miss.; Wiltz",,s.n.,7/1/07,,1907,7,1,182,,"July 1, 1907.",,,,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,US,California,Monterey County,,Monterey Peninsula. Chinatown. Pacific Grove.,,0,,36.61798,-121.91838,WGS84,3000,,,,,,,,,,,,,,en,,5/16/11 13:44,urn:catalog:CAS:BOT-BC:74309,1,69160ce0-1316-4a23-a094-dd0b398d7831,https://cch2.org/portal/collections/individual/index.php?occid=2300919,https://cch2.org/portal/collections/individual/index.php?occid=2300919
