gbifID,catalogNumber,institutionCode,cch2_occid,locality,eventDate,scientificName,in_unified_occurrence
6512220625,SACT012153,SACT,6536884,"Putah Creek, fishing access along State Highway 128 about 2.9 miles NW of the junction of the hwy and Pleasants Valley Rd (County Road 86)",1977-03-29,Raphanus sativus L.,TRUE
6512219236,SACT012143,SACT,6536893,Orangevale; Coll. At 7925 Hazel Ave (Linda Creek Drainage),1974-02-01,Raphanus raphanistrum L.,TRUE
6512218010,SACT012137,SACT,6536417,Sierra College Blvd.; Coll. At top of hill N of Douglas Blvd where rd runs E-W,1976-04-14,Raphanus raphanistrum L.,TRUE
6512217735,SACT012154,SACT,6536746,"0.8 mi. E. on Malcom Dixon Rd. from Salmon Falls Rd., N. of El Dorado Hills",1982-02-20,Raphanus sativus L.,TRUE
6512217443,SACT012149,SACT,6536584,Waldorf School; American River,1974-03-12,Raphanus sativus L.,TRUE
6512216141,SACT012145,SACT,6536544,Sailor Bar along the Lower American River; Fair Oaks,1977-08-15,Raphanus sativus L.,TRUE
6512215673,SACT012147,SACT,6536888,"Putah creek, Davis",1975-10-27,Raphanus sativus L.,TRUE
6512215635,SACT012133,SACT,6536731,"Mix Canyon, near mouth of canyon, along Mix Canyon Rd just west of Pleasants Valley Rd",1976-04-14,Raphanus raphanistrum L.,TRUE
6512214849,SACT012140,SACT,6536598,Near Sacramento,1890-04-13,Raphanus raphanistrum L.,TRUE
6512214750,SACT012146,SACT,6536555,Fair Oaks,1953-05-08,Raphanus sativus L.,TRUE
6512212415,SACT012151,SACT,6536524,Waldorf School; American River,1974-03-12,Raphanus sativus L.,TRUE
6512211884,SACT012152,SACT,6536581,Lincoln,1933-04-10,Raphanus sativus L.,TRUE
6512208442,SACT012148,SACT,6536673,Phoenix Field Upland,1996-05-06,Raphanus sativus L.,TRUE
6512208011,SACT012136,SACT,6536705,Lincoln; Coll. On Gladding Rd. 1/2 mi S of Rioso Rd.,1979-03-17,Raphanus raphanistrum L.,TRUE
6512207145,SACT012134,SACT,6536665,"Mix Canyon, near mouth of canyon, along Mix Canyon Rd just west of Pleasants Valley Rd",1976-04-14,Raphanus raphanistrum L.,TRUE
6512205760,SACT012139,SACT,6536545,Phoenix Field upland,1996-04-16,Raphanus raphanistrum L.,TRUE
6512205419,SACT012138,SACT,6536620,"0.8 mi. E. on Malcom Dixon Rd. from Salmon Falls Rd., N. of El Dorado Hills",1982-02-20,Raphanus raphanistrum L.,TRUE
6512204524,SACT012142,SACT,6536517,Phoenix Field Upland south end of field,1995-06-22,Raphanus raphanistrum L.,TRUE
6512203794,SACT012144,SACT,6536614,Orangevale; Coll. At 7925 Hazel Ave (Linda Creek Drainage),1974-04-13,Raphanus raphanistrum L.,TRUE
6512203706,SACT012141,SACT,6536629,Hwy 50,1954-05-23,Raphanus raphanistrum L.,TRUE
6512201460,SACT012135,SACT,6536698,Eureka Rd.; Coll. 1/2 mi W of Barton Rd.,1976-07-26,Raphanus raphanistrum L.,TRUE
6503168415,UCHT049763,UTC,34859174,"US, Georgia, Walker County, Cloudland Canyon State Park. Ascalon Road.",2025-08-20,Raphanus raphanistrum L.,TRUE
6503164329,MMNS086761,MMNS,34852780,"Carl M. Sullivan property, 1253 SCR 52 Raleigh MS 39153.",2024-03-24,Raphanus sativus L.,TRUE
6503075050,TAES0130791,TAES,35008098,Olmito,NA,Raphanus raphanistrum L.,TRUE
6502494303,NA,SD,7227433,"Naval Base Coronado, NOLF (Naval Outlying Landing Field); within the airfield perimeter.",2025-05-13,Raphanus raphanistrum L.,TRUE
6491605335,UWEC07489,UWEC,34877410,2 mi. of N Canyon Dr. N of Brush Canyon Flood Control Project. Santa Monica Mtns,1966-05-29,Raphanus sativus L.,TRUE
6439468736,NMC044603,NMC-NMCR,34785901,Southington,1897-07-20,Raphanus raphanistrum L.,TRUE
6439456959,NMC044607,NMC-NMCR,34785905,Cooper's Point Railroad Freight yard,1932-07-09,Raphanus raphanistrum L.,TRUE
6439379526,NMC044604,NMC-NMCR,34785902,Bangor,1905-07-08,Raphanus raphanistrum L.,TRUE
6415723330,SD00102985,SD,6791135,"Mountain Meadow Preserve, west side. East of Mountain Meadow Road, south of Stickley Ranch Road, north of Escondido.",2023-05-06,Raphanus sativus L.,TRUE
6415567317,NA,IRVC,6923372,"UC Nature San Joaquin Marsh Reserve, Upper Marsh, 200ft SE from North Campus",2026-05-28,Raphanus sativus L.,TRUE
6391619013,QFA0225367,QFA,NA,"Benton Co., N.E. Corvallis, area between Canterbury Street and Frazier Creek; T11S, R5W, Sec. 24",1978-04-30,Raphanus sativus L.,TRUE
6391612508,QFA0281227,QFA,NA,"Parish: Richland, south of La. 15 on Richland Plantation, 1.5 miles west of Rhymes and La. 133; Sec. 10, T16N, R5E",1984-05-08,Raphanus raphanistrum L.,TRUE
6391592544,QFA0047387,QFA,NA,"Lane County, east of Cottage Grove",1955-07-04,Raphanus raphanistrum L.,TRUE
6341315367,NA,US,NA,"McLean, cultivated at 1631 Golden St.",2023-04-03,Raphanus raphanistrum var. sativus (L.) Schmalh.,TRUE
6326248462,1722470,CAS,NA,"University of California, Department of Botany, Davis,",1958-05-29,Raphanus L.,TRUE
6326199356,1722469,CAS,NA,"403 Stevenson Drive, N. of Monroe, La.",1972-05-02,Raphanus L.,TRUE
6326177492,1722471,CAS,NA,"Chinese garden,",1919-09-22,Raphanus L.,TRUE
6326105302,1722472,CAS,NA,"In student vegetable gardens just south of Vegetable Crops southernmost greenhouse, University of California, Davis,",1958-05-29,Raphanus L.,TRUE
6289062386,1419821,CAS,NA,"Unincorporated county, McLane Dog Park, in southern portion of park, 0.2 air miles W of Olympia city boundary and 0.1 air miles south  of Mud Bay Rd NW.",2024-12-03,Raphanus sativus L.,TRUE
6250119318,105207902,MO,NA,"along RR W of St Rt 18 crossing, Lake City, Girard Tp",2000-06-15,Raphanus raphanistrum L.,TRUE
6250112326,105189084,MO,NA,"Blountstown, Rt. 20, between 23rd Street & 24th Street",2015-03-21,Raphanus raphanistrum L.,TRUE
6250076393,105196702,MO,NA,"I-65, 13.5 mi. n. Montgomery",1975-04-11,Raphanus raphanistrum L.,TRUE
6250063479,105199028,MO,NA,"Sierra Nevada; Willow Valley on upper Castle Creek, 0.3 mile north of Highway 80 and 1.5 mile north of Norden.",1966-08-30,Raphanus raphanistrum L.,TRUE
6250045382,105197962,MO,NA,"Rt. 10, Cornfields near Dover",1969-07-12,Raphanus raphanistrum L.,TRUE
6250034476,105200297,MO,NA,Harpersville,1973-04-16,Raphanus raphanistrum L.,TRUE
6250030468,105208279,MO,NA,"Rt. 351, bet. Fruitland and Whitesburg",1955-06-04,Raphanus raphanistrum L.,TRUE
6250020380,105201513,MO,NA,above Alapahava River just w. Irwinville by Ga. 32,1976-04-11,Raphanus sativus L.,TRUE
