gbifID,catalogNumber,institutionCode,cch2_occid,occurrenceID,locality,eventDate,scientificName,otherCatalogNumbers,image_source,source_dir,original_filename,original_stem,scoring_filename,id_check_status,id_check_notes,source_priority,selected_for_scoring
2430030728,RSA0063036,RSA,1000363,88935d18-d9a4-4328-8238-798422667a6a,"20 meters west of Davis Road, 1 1/2 miles north of Ramona Expressway, San Jacinto Wildlife area.",1992-05-23,Raphanus sativus L.,RSA accession: 830115,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,1000363.jpg,1000363,2430030728.jpg,ok,unique CCH2 occid=1000363,3,TRUE
2430033363,RSA0140267,RSA,1002700,89acad46-aebe-40e9-b930-3101c1146d1d,"The Nature Conservancy (TNC). Totolcam I owned by The Nature Conservancy, Santa Clara River.; Oxnard",2015-05-27,Raphanus sativus L.,RSA accession: 868587,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,1002700.jpg,1002700,2430033363.jpg,ok,unique CCH2 occid=1002700,3,TRUE
2430058475,RSA0061147,RSA,1031022,973716e3-db49-4034-9510-8ab698e57cf4,"The Nature ConservancyOrmond Beach at end of McWane Blvd., west of Arcturus Ave. South of Port Hueneme, Oxnard.",2015-03-17,Raphanus sativus L.,RSA accession: 831807,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,1031022.jpg,1031022,2430058475.jpg,ok,unique CCH2 occid=1031022,3,TRUE
2430062063,RSA0077525,RSA,1032722,9808a581-a9cc-47ee-b88e-35d3c553b197,Victorville area.,1964-04-18,Raphanus sativus L.,RSA accession: 838744,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,1032722.jpg,1032722,2430062063.jpg,ok,unique CCH2 occid=1032722,3,TRUE
3053451100,SBBG213812,SBBG,108810,993b39be-761c-41ef-8469-56039eb37196,Los Padres National Forest; upper Camuesa Camp Rd,1939-05-15,Raphanus raphanistrum L.,SBBG_old: 72196,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,108810.jpg,108810,3053451100.jpg,ok,unique CCH2 occid=108810,3,TRUE
2430117629,RSA0027717,RSA,1088339,b2a3624e-5e3e-4d70-9684-c3d1c7f86ae7,"North Gate Road on west side of Mount Diablo, hairpin turn opposite Angel Kerley trailhead.",1998-05-13,Raphanus raphanistrum L.,RSA accession: 813805,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,1088339.jpg,1088339,2430117629.jpg,ok,unique CCH2 occid=1088339,3,TRUE
2430118610,RSA0045286,RSA,1089689,b3494762-9212-4c47-9a39-2844df45f564,"One mile inland from the ocean in Pacific Beach, San Diego. In a canyon north of the cul de sac of Dawes Ave. Just off Ingrahm Blvd. The canyon runs NE-SW for about a mile.",1983-04-23,Raphanus sativus L.,RSA accession: 824425,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,1089689.jpg,1089689,2430118610.jpg,ok,unique CCH2 occid=1089689,3,TRUE
2430125677,RSA0051704,RSA,1097620,b7169ef5-2325-46fd-9caf-9dc89252ad1c,"Voorhis Campus, Cal Poly, San Dimas.",1963-04-19,Raphanus sativus L.,RSA accession: 828287,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,1097620.jpg,1097620,2430125677.jpg,ok,unique CCH2 occid=1097620,3,TRUE
3406848787,LA00632418,LA,1176,f4958179-ab82-4322-84ce-3aee59d05889,Santa Monica Mountains; Tuna Canyon; lower portion of canyon,1969-05-30,Raphanus sativus L.,LA200329,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,1176.jpg,1176,3406848787.jpg,ok,unique CCH2 occid=1176,3,TRUE
2430257328,RSA0010464,RSA,1191094,e3cda1b6-932e-4229-b04a-074d6d8444b7,Camp Pendleton: southeastern portion of Base; Juliet Training Area; near Bonsall & Fallbrook; riparian area along the perimeter of the Base.,2015-05-27,Raphanus sativus L.,RSA accession: 833498,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,1191094.jpg,1191094,2430257328.jpg,ok,unique CCH2 occid=1191094,3,TRUE
