gbifID,catalogNumber,institutionCode,cch2_occid,occurrenceID,locality,eventDate,scientificName,otherCatalogNumbers,image_source,source_dir,original_filename,original_stem,scoring_filename,id_check_status,id_check_notes,source_priority,selected_for_scoring
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,2423571.jpg,2423571,2423571.jpg,unmatched,no unified occurrence row for CCH2 occid=2423571,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3224405.jpg,3224405,3224405.jpg,unmatched,no unified occurrence row for CCH2 occid=3224405,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3235156.jpg,3235156,3235156.jpg,unmatched,no unified occurrence row for CCH2 occid=3235156,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3239401.jpg,3239401,3239401.jpg,unmatched,no unified occurrence row for CCH2 occid=3239401,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3245328.jpg,3245328,3245328.jpg,unmatched,no unified occurrence row for CCH2 occid=3245328,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3262100.jpg,3262100,3262100.jpg,unmatched,no unified occurrence row for CCH2 occid=3262100,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3270997.jpg,3270997,3270997.jpg,unmatched,no unified occurrence row for CCH2 occid=3270997,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3278418.jpg,3278418,3278418.jpg,unmatched,no unified occurrence row for CCH2 occid=3278418,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3281522.jpg,3281522,3281522.jpg,unmatched,no unified occurrence row for CCH2 occid=3281522,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3290499.jpg,3290499,3290499.jpg,unmatched,no unified occurrence row for CCH2 occid=3290499,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3293792.jpg,3293792,3293792.jpg,unmatched,no unified occurrence row for CCH2 occid=3293792,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3306212.jpg,3306212,3306212.jpg,unmatched,no unified occurrence row for CCH2 occid=3306212,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3322372.jpg,3322372,3322372.jpg,unmatched,no unified occurrence row for CCH2 occid=3322372,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3324477.jpg,3324477,3324477.jpg,unmatched,no unified occurrence row for CCH2 occid=3324477,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3330781.jpg,3330781,3330781.jpg,unmatched,no unified occurrence row for CCH2 occid=3330781,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3335398.jpg,3335398,3335398.jpg,unmatched,no unified occurrence row for CCH2 occid=3335398,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3349335.jpg,3349335,3349335.jpg,unmatched,no unified occurrence row for CCH2 occid=3349335,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3351467.jpg,3351467,3351467.jpg,unmatched,no unified occurrence row for CCH2 occid=3351467,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3366602.jpg,3366602,3366602.jpg,unmatched,no unified occurrence row for CCH2 occid=3366602,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3366934.jpg,3366934,3366934.jpg,unmatched,no unified occurrence row for CCH2 occid=3366934,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3373130.jpg,3373130,3373130.jpg,unmatched,no unified occurrence row for CCH2 occid=3373130,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3377055.jpg,3377055,3377055.jpg,unmatched,no unified occurrence row for CCH2 occid=3377055,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3386031.jpg,3386031,3386031.jpg,unmatched,no unified occurrence row for CCH2 occid=3386031,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3400832.jpg,3400832,3400832.jpg,unmatched,no unified occurrence row for CCH2 occid=3400832,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3400958.jpg,3400958,3400958.jpg,unmatched,no unified occurrence row for CCH2 occid=3400958,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3414522.jpg,3414522,3414522.jpg,unmatched,no unified occurrence row for CCH2 occid=3414522,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,3417594.jpg,3417594,3417594.jpg,unmatched,no unified occurrence row for CCH2 occid=3417594,3,FALSE
