gbifID,catalogNumber,institutionCode,scientificName,match_fail_reason
6512220625,SACT012153,SACT,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512219236,SACT012143,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512218010,SACT012137,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512217735,SACT012154,SACT,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512217443,SACT012149,SACT,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512216141,SACT012145,SACT,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512215673,SACT012147,SACT,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512215635,SACT012133,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512214849,SACT012140,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512214750,SACT012146,SACT,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512212415,SACT012151,SACT,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512211884,SACT012152,SACT,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512208442,SACT012148,SACT,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512208011,SACT012136,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512207145,SACT012134,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512205760,SACT012139,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512205419,SACT012138,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512204524,SACT012142,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512203794,SACT012144,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512203706,SACT012141,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6512201460,SACT012135,SACT,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6503168415,UCHT049763,UTC,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6503164329,MMNS086761,MMNS,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6503075050,TAES0130791,TAES,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6502494303,NA,SD,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6491605335,UWEC07489,UWEC,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6439468736,NMC044603,NMC-NMCR,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6439456959,NMC044607,NMC-NMCR,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6439379526,NMC044604,NMC-NMCR,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6415723330,SD00102985,SD,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6415567317,NA,IRVC,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6341315367,NA,US,Raphanus raphanistrum var. sativus (L.) Schmalh.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6227344498,3953,COCC,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6176537422,CM557645,CM,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6176433317,WTU-V-469073,WTU,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6176424912,28942,SOC,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6176420650,25955,HPSU,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6161390341,45245,GREE,Raphanus sativus L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
6116410998,MMNS091628,MMNS,Raphanus raphanistrum L.,new to 09.10.2026 download but no http URL in multimedia identifier/references
1144760802,G00302235,CJBG,Raphanus maritimus Sm.,new to 09.10.2026 download but no http URL in multimedia identifier/references
