original,sml_filename,bytes_before,bytes_after,status
5198161855.jpg,SML_5198161855.jpg,69037186,5228997,resized
5198172854.jpg,SML_5198172854.jpg,66094883,5618723,resized
5198174851.jpg,SML_5198174851.jpg,63852088,6086408,resized
5198174852.jpg,SML_5198174852.jpg,53945051,4503393,resized
5198176853.jpg,SML_5198176853.jpg,61646656,4700969,resized
5198185854.jpg,SML_5198185854.jpg,55543379,4914361,resized
5198193840.jpg,SML_5198193840.jpg,59113928,4900922,resized
5198193841.jpg,SML_5198193841.jpg,64805722,5038509,resized
5198194850.jpg,SML_5198194850.jpg,55292217,4676433,resized
5198194851.jpg,SML_5198194851.jpg,64926375,5547675,resized
5198215850.jpg,SML_5198215850.jpg,56982954,5040898,resized
5198218870.jpg,SML_5198218870.jpg,63650941,5630677,resized
5198222848.jpg,SML_5198222848.jpg,60284198,4731740,resized
5198224849.jpg,SML_5198224849.jpg,67143271,5756221,resized
