image,Bud Cluster,Flower,Fruit,catalogNumber,gbifID,institutionCode,recordedBy,eventDate,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,scientificName,specificEpithet
3496963335,2,18,12,3496963335,3496963335,ODU,Michael N. Huff,1970-04-22,112,112,1970,4,22,NA,Virginia,Portsmouth City,NA,"Near lake by Portsmouth Estates, open lot",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
SML_1999221539,0,16,41,SML_1999221539,1999221539,GH,S. H. Burnham,1918-06-20,171,171,1918,6,20,NA,New York,Washington County,NA,"south of Copeland Pond, W. Fort Ann",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
1999156057,3,6,18,1999156057,1999156057,NEBC,T. O. Fuller,1891-07-02,183,183,1891,7,2,"July 2, 1891",Massachusetts,Norfolk County,Needham,Needham,42.27722,-71.23419,3500,Raphanus raphanistrum L.,raphanistrum
3865374374,2,8,11,3865374374,3865374374,PH,Aubrey H. Smith,1864-10-17,291,291,1864,10,17,NA,Pennsylvania,Delaware,NA,Tinicum,39.861576,-75.267284,4474.0,Raphanus raphanistrum L.,raphanistrum
SML_1998603327,1,1,0,SML_1998603327,1998603327,ECON,[no data available],NA,NA,NA,NA,NA,NA,NA,Massachusetts,Suffolk County,Boston,at Bussey Inst.,42.2994,-71.12395,1100,Raphanus sativus L.,sativus
1999333260,1,10,13,1999333260,1999333260,NEBC,F. T. Hubbard,1913-06-14,165,165,1913,6,14,"June 14, 1913",Massachusetts,Essex County,Hamilton,Hamilton,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2452242382,0,5,2,2452242382,2452242382,US,-. Boot,1816,NA,NA,1816,NA,NA,NA,Massachusetts,NA,NA,Boston. N.A.,NA,NA,NA,Raphanus sativus L.,sativus
2573012273,1,1,24,2573012273,2573012273,VT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus L.,NA
4912015636,2,6,23,4912015636,4912015636,BRY,Barbara Ertter,1998-06-12,163,163,1998,6,12,1998-6-12,California,Contra Costa,NA,"North Gate Road on west flank of Mount Diablo, dogleg in road above raches opposite Angel Kerley trail head.",NA,NA,NA,Raphanus sativus L.,sativus
2234332017,0,10,8,2234332017,2234332017,NCU,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,Wake,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2573119618,5,8,29,2573119618,2573119618,VT,NA,NA,NA,NA,NA,NA,NA,NA,Vermont,NA,Brandon,NA,43.79975,-73.08017,7790.0,Raphanus raphanistrum L.,raphanistrum
3357380332,2,20,51,3357380332,3357380332,GMUF,"Stanley, Miller",1973-06-10,161,161,1973,6,10,10 Jun 1973,Virginia,Lancaster,NA,Roadside; along Rt. 3 near Brook Vale,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2992913308,0,6,9,2992913308,2992913308,USF,T. O. Fuller,1890-08-25,237,237,1890,8,25,NA,Massachusetts,Norfolk Co.,NA,Needham.,42.2834,-71.2328,NA,Raphanus raphanistrum L.,raphanistrum
