image,catalogNumber,gbifID,Bud Cluster,Flower,Fruit
2514099464,2514099464,2514099464,1,0,12
2514100465,2514100465,2514100465,0,7,36
2514964427,2514964427,2514964427,1,6,16
2514966053,2514966053,2514966053,0,0,7
2515123578,2515123578,2515123578,1,0,0
2515352603,2515352603,2515352603,0,0,10
2515370378,2515370378,2515370378,0,9,6
2515436248,2515436248,2515436248,1,0,14
2515493583,2515493583,2515493583,0,0,9
2515500059,2515500059,2515500059,0,0,6
2515502332,2515502332,2515502332,1,0,67
2516925454,2516925454,2516925454,0,0,2
2516955410,2516955410,2516955410,4,6,20
2517114190,2517114190,2517114190,0,0,0
2517128134,2517128134,2517128134,1,1,1
2517362078,2517362078,2517362078,0,0,10
2517371118,2517371118,2517371118,0,0,21
2517603142,2517603142,2517603142,0,0,9
51063638087,51063638087,51063638087,6,22,22
