gbifID,accessRights,bibliographicCitation,language,license,modified,publisher,references,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,caste,behavior,vitality,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceFromCentroidInMeters,issue,taxonomicIssue,nonTaxonomicIssue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,isInvasive,repatriated,relativeOrganismQuantity,projectId,isSequenced,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122994729,,,en,CC_BY_4_0,,,,,PhysicalObject,urn:lsid:biocol.org:col:15568,,,FTG,Herbarium,,,PRESERVED_SPECIMEN,,,,DD11D964-A5A2-42ED-82DA-7843FF0F2C6C,137279,,A. Benner,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,3/17/98,,76,76,1998,3,17,,,,,,,,,,,United States of America;Florida;Palm Beach,,,,,US,Florida,Palm Beach,,"9034 SW 5th Street, Boca Raton","9034 SW 5th Street, Boca Raton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238818,,,,,,,,,,,,,,,,,,Raphanus sativus L.,,,,,,,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,sativus,,,SPECIES,,,ICN,ACCEPTED,,,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:26.234Z,,,,,,INSTITUTION_COLLECTION_MISMATCH,,,,FALSE,FALSE,7678610,7678610,6,7707728,220,7225535,3112,3040962,,7678610,Raphanus sativus,Raphanus sativus L.,Raphanus sativus,,EML,2026-01-02T00:03:26.234Z,2026-01-02T00:02:52.795Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122994964,,,en,CC_BY_4_0,,,,,PhysicalObject,urn:lsid:biocol.org:col:15568,,,FTG,Herbarium,,,PRESERVED_SPECIMEN,,,,D87525F3-21FF-4579-8C76-0CA66A3ECF35,47376,4701,R. P. Sauleda,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,3/13/81,,72,72,1981,3,13,,,,,,,,,,,United States of America;Florida;Brevard,NORTH_AMERICA,,,,US,Florida,Brevard,,,,,,,,,,,30.68894,-88.03804,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195492,,,,,,,,,,,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,ICN,ACCEPTED,,,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:17.903Z,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,,,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,EML,2026-01-02T00:03:17.903Z,2026-01-02T00:02:52.795Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.5_1,Brevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122994969,,,en,CC_BY_4_0,,,,,PhysicalObject,urn:lsid:biocol.org:col:15568,,,FTG,Herbarium,,,PRESERVED_SPECIMEN,,,,D32D0845-D7D5-4BF6-B472-E87C1F24E1C7,48399,51578,"D. S. Correll, H. B. Correll",,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,4/23/81,,113,113,1981,4,23,,,,,,,,,,,United States of America;Florida;Levy,NORTH_AMERICA,,,,US,Florida,Levy,,,,,,,,,,,30.68894,-88.03804,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201960,,,,,,,,,,,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,ICN,ACCEPTED,,,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:45.108Z,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,,,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,EML,2026-01-02T00:03:45.108Z,2026-01-02T00:02:52.795Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.37_1,Levy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122995012,,,en,CC_BY_4_0,,,,,PhysicalObject,urn:lsid:biocol.org:col:15568,,,FTG,Herbarium,,,PRESERVED_SPECIMEN,,,,8526E448-3113-4F0D-A6E4-5999AC3C3129,49464,53320,"D. S. Correll, H. B. Correll",,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2/16/82,,47,47,1982,2,16,,,,,,,,,,,United States of America;Florida;Madison,NORTH_AMERICA,,,,US,Florida,Madison,,,,,,,,,,,30.68894,-88.03804,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204086,,,,,,,,,,,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,ICN,ACCEPTED,,,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:21.193Z,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,,,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,EML,2026-01-02T00:03:21.193Z,2026-01-02T00:02:52.795Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.39_1,Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122995022,,,en,CC_BY_4_0,,,,,PhysicalObject,urn:lsid:biocol.org:col:15568,,,FTG,Herbarium,,,PRESERVED_SPECIMEN,,,,4EB0298A-0832-4F53-8EE2-10144A08E3B4,50650,51579,"D. S. Correll, H. B. Correll",,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,4/23/81,,113,113,1981,4,23,,,,,,,,,,,United States of America;Florida;Levy,NORTH_AMERICA,,,,US,Florida,Levy,,,,,,,,,,,30.68894,-88.03804,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207616,,,,,,,,,,,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,ICN,ACCEPTED,,,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:35.671Z,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,,,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,EML,2026-01-02T00:03:35.671Z,2026-01-02T00:02:52.795Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.37_1,Levy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122995074,,,en,CC_BY_4_0,,,,,PhysicalObject,urn:lsid:biocol.org:col:15568,,,FTG,Herbarium,,,PRESERVED_SPECIMEN,,,,10C61E96-84BC-49F2-9E9B-0F3220860CE1,53095,993,A. K. Herndon,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,12/18/83,,352,352,1983,12,18,,,,,,,,,,,United States of America;Florida;Miami-Dade,NORTH_AMERICA,,,,US,Florida,Miami-Dade,,,,,,,,,,,30.68894,-88.03804,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224074,,,,,,,,,,,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,ICN,ACCEPTED,,,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:27.736Z,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,,,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,EML,2026-01-02T00:03:27.736Z,2026-01-02T00:02:52.795Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.43_1,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122995160,,,en,CC_BY_4_0,,,,,PhysicalObject,urn:lsid:biocol.org:col:15568,,,FTG,Herbarium,,,PRESERVED_SPECIMEN,,,,ACBE915A-F75A-47BE-A64A-89CE0FDAB789,65375,83781,R. K. Godfrey,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,4/6/90,,96,96,1990,4,6,,,,,,,,,,,United States of America;Florida;Leon,NORTH_AMERICA,,,,US,Florida,Leon,,,,,,,,,,,30.68894,-88.03804,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201978,,,,,,,,,,,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,ICN,ACCEPTED,,,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:17.259Z,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,,,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,EML,2026-01-02T00:03:17.259Z,2026-01-02T00:02:52.795Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.36_1,Leon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122995197,,,en,CC_BY_4_0,,,,,PhysicalObject,urn:lsid:biocol.org:col:15568,,,FTG,Herbarium,,,PRESERVED_SPECIMEN,,,,52C48906-CBA7-4AD4-A367-3C707669C3D9,7164,115,J. Popenoe,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,3/22/70,,81,81,1970,3,22,,,,,,,,,,,United States of America,NORTH_AMERICA,,,,US,,,,,,,,,,,,,30.68894,-88.03804,15000,,,,,,,,USFWI,49:40.6,,GEOLocate,,,,,,,,,,,,,,,,,,,,178076,,,,,,,,,,,,,,,,,,Raphanus sativus L.,,,,,,,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,sativus,,,SPECIES,,,ICN,ACCEPTED,,,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:32.743Z,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_UNCERTAINTY_METERS_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,,,StillImage,TRUE,FALSE,7678610,7678610,6,7707728,220,7225535,3112,3040962,,7678610,Raphanus sativus,Raphanus sativus L.,Raphanus sativus,,EML,2026-01-02T00:03:32.743Z,2026-01-02T00:02:52.795Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.24_1,Minnesota,USA.24.19_1,Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122995252,,,en,CC_BY_4_0,,,,,PhysicalObject,urn:lsid:biocol.org:col:15568,,,FTG,Herbarium,,,PRESERVED_SPECIMEN,,,,6F859990-F27E-471A-831E-C15367BF39DF,80703,010,E. E. Wise,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2/23/85,,54,54,1985,2,23,,,,,,,,,,,United States of America;Florida;Pasco,NORTH_AMERICA,,,,US,Florida,Pasco,,,,,,,,,,,30.68894,-88.03804,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213079,,,,,,,,,,,,,,,,,,Raphanus raphanistrum L.,,,,,,,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,raphanistrum,,,SPECIES,,,ICN,ACCEPTED,,,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:19.109Z,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,,,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,,EML,2026-01-02T00:03:19.109Z,2026-01-02T00:02:52.795Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.51_1,Pasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122995253,,,en,CC_BY_4_0,,,,,PhysicalObject,urn:lsid:biocol.org:col:15568,,,FTG,Herbarium,,,PRESERVED_SPECIMEN,,,,AEA45D8D-2D18-4036-885B-20466DCA8AA3,80849,,K. Holland,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,3/17/89,,76,76,1989,3,17,,,,,,,,,,,United States of America;Florida;Polk,NORTH_AMERICA,,,,US,Florida,Polk,,,,,,,,,,,30.68894,-88.03804,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216887,,,,,,,,,,,,,,,,,,Raphanus sativus L.,,,,,,,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,,Brassicaceae,,,,Raphanus,Raphanus,,,sativus,,,SPECIES,,,ICN,ACCEPTED,,,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:31.534Z,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,,,StillImage,TRUE,FALSE,7678610,7678610,6,7707728,220,7225535,3112,3040962,,7678610,Raphanus sativus,Raphanus sativus L.,Raphanus sativus,,EML,2026-01-02T00:03:31.534Z,2026-01-02T00:02:52.795Z,,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.53_1,Polk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
