gbifID,mismatch_type,removal_locality,removal_verbatimLocality,removal_mediaType,occurrence_locality,occurrence_verbatimLocality,occurrence_mediaType,occurrence_stateProvince,occurrence_county
4404981149,locality_only,,"Sonoma Valley, along CA Hwy 121, 0.4 mile E of its junction with CA Hwy 116 at Big Bend.",,"Sonoma Valley, along CA Hwy 121, 0.4 mile E of its junction with CA Hwy 116 at Big Bend.",,,California,Sonoma
4404981144,locality_only,,"Hwy 40 [now I-80 xcorridor], 7 miles N of Vallejo.",,"Hwy 40 [now I-80 xcorridor], 7 miles N of Vallejo.",,,California,Solano
4404981145,locality_only,,"Los Angeles City, Glenwood Place, South Gate.",,"Los Angeles City, Glenwood Place, South Gate.",,,California,Los Angeles
4404923182,locality_only,,3 miles E of Oakdale.,,3 miles E of Oakdale.,,,California,Stanislaus
4404923176,locality_only,,Between Placerville and Plymouth.,,Between Placerville and Plymouth.,,,California,Amador
4404923171,locality_only,,"[Sierra Nevada,] on Hwy 49, 2 miles W of Nevada City.",,"[Sierra Nevada,] on Hwy 49, 2 miles W of Nevada City.",,,California,Nevada
4404923173,locality_only,,Chico.,,Chico.,,,California,Butte
4404923243,locality_only,,10 miles E of Ione.,,10 miles E of Ione.,,,California,Amador
4404923225,locality_only,,Redding.,,Redding.,,,California,Shasta
4404923101,locality_only,,Uvas Meadows Road.,,Uvas Meadows Road.,,,California,Santa Clara
4404922762,locality_only,,"At the end of Mars Lane, just S of Bandon.",,"At the end of Mars Lane, just S of Bandon.",,,Oregon,Coos
4404922748,locality_only,,"Hammond, Columbia River at the boat basin.",,"Hammond, Columbia River at the boat basin.",,,Oregon,Clatsop
4404922610,locality_only,,"Along the Willamette River behind the O.S.U. Salmon Disease Lab, 34347 NE Electric Rd, just E of Corvallis.",,"Along the Willamette River behind the O.S.U. Salmon Disease Lab, 34347 NE Electric Rd, just E of Corvallis.",,,Oregon,Linn
4404922660,locality_only,,"Along Mars Lane by its intersection with Rohrer Road, just S of Bandon.",,"Along Mars Lane by its intersection with Rohrer Road, just S of Bandon.",,,Oregon,Coos
4404922656,locality_only,,0.5 mile W of Loomis.,,0.5 mile W of Loomis.,,,California,Placer
4404922641,locality_only,,"Along road, 1 mile W of Fiddletown.",,"Along road, 1 mile W of Fiddletown.",,,California,Amador
4929790611,locality_only,,"Tualitin River, in an open field, near 150th Street & Beef Bend Rd",,"Tualitin River, in an open field, near 150th Street & Beef Bend Rd",,,Oregon,Washington
4929777591,locality_only,,"along OR Hwy 126, 4.8 mi E of jct with US Hwy 101 in Florence",,"along OR Hwy 126, 4.8 mi E of jct with US Hwy 101 in Florence",,,Oregon,Lane
4929777589,locality_only,,"Corvallis, Jackson-Frazier Wetland, at end of Lancaster Street; in weedy upland area",,"Corvallis, Jackson-Frazier Wetland, at end of Lancaster Street; in weedy upland area",,,Oregon,Benton
1986960313,locality_only,,Williams; by the junction of 5th Street and B Street.,,Williams; by the junction of 5th Street and B Street.,,,California,Colusa
4404975416,locality_only,,"Along Old River Rod, 1 mile E of its junction with OR Hwy 99W, N of Monroe.",,"Along Old River Rod, 1 mile E of its junction with OR Hwy 99W, N of Monroe.",,,Oregon,Benton
4851179485,locality_only,,McNary US Wildlife Refuge 1/4 mile NW of headquarters.,,McNary US Wildlife Refuge 1/4 mile NW of headquarters.,,,Washington,Walla Walla
4851271231,locality_only,,Seattle.,,Seattle.,,,Washington,King
4851282591,locality_only,,8 mi. S.E. Milton-Freewater.,,8 mi. S.E. Milton-Freewater.,,,Oregon,Umatilla
4851271232,locality_only,,1/10 Mi. E. of S.E. Williams rd. on Powell Valley Rd.,,1/10 Mi. E. of S.E. Williams rd. on Powell Valley Rd.,,,Oregon,Multnomah
4851165091,locality_only,,"Along the Willamette River behind the O.S.U. Salmon Disease Lab, 34347 N.E. Electric Road, just E of Corvallis. T11S R5W S36.",,"Along the Willamette River behind the O.S.U. Salmon Disease Lab, 34347 N.E. Electric Road, just E of Corvallis. T11S R5W S36.",,,Oregon,Linn
4851282592,locality_only,,McMinnville.,,McMinnville.,,,Oregon,
