gbifID,accessRights,bibliographicCitation,language,license,modified,publisher,references,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,caste,behavior,vitality,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceFromCentroidInMeters,issue,taxonomicIssue,nonTaxonomicIssue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,isInvasive,repatriated,relativeOrganismQuantity,projectId,isSequenced,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,...227,...228,...229,...230,...231,...232,...233,...234,...235,...236,...237,...238,...239,...240,...241,...242,...243,...244,...245,...246,...247,...248,...249,...250,...251,...252,...253,...254,...255,...256
122994964,NA,NA,en,CC_BY_4_0,NA,NA,NA,NA,PhysicalObject,urn:lsid:biocol.org:col:15568,NA,NA,FTG,Herbarium,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA,D87525F3-21FF-4579-8C76-0CA66A3ECF35,47376,4701,R. P. Sauleda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/13/81,NA,72,72,1981,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America;Florida;Brevard,NORTH_AMERICA,NA,NA,NA,US,Florida,Brevard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.68894,-88.03804,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,NA,NA,NA,NA,NA,NA,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,NA,Brassicaceae,NA,NA,NA,Raphanus,Raphanus,NA,NA,raphanistrum,NA,NA,SPECIES,NA,NA,ICN,ACCEPTED,NA,NA,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:17.903Z,NA,NA,NA,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,NA,NA,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,NA,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,NA,EML,2026-01-02T00:03:17.903Z,2026-01-02T00:02:52.795Z,NA,FALSE,NA,NA,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.5_1,Brevard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122994969,NA,NA,en,CC_BY_4_0,NA,NA,NA,NA,PhysicalObject,urn:lsid:biocol.org:col:15568,NA,NA,FTG,Herbarium,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA,D32D0845-D7D5-4BF6-B472-E87C1F24E1C7,48399,51578,"D. S. Correll, H. B. Correll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/23/81,NA,113,113,1981,4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America;Florida;Levy,NORTH_AMERICA,NA,NA,NA,US,Florida,Levy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.68894,-88.03804,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,NA,NA,NA,NA,NA,NA,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,NA,Brassicaceae,NA,NA,NA,Raphanus,Raphanus,NA,NA,raphanistrum,NA,NA,SPECIES,NA,NA,ICN,ACCEPTED,NA,NA,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:45.108Z,NA,NA,NA,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,NA,NA,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,NA,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,NA,EML,2026-01-02T00:03:45.108Z,2026-01-02T00:02:52.795Z,NA,FALSE,NA,NA,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.37_1,Levy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122995012,NA,NA,en,CC_BY_4_0,NA,NA,NA,NA,PhysicalObject,urn:lsid:biocol.org:col:15568,NA,NA,FTG,Herbarium,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA,8526E448-3113-4F0D-A6E4-5999AC3C3129,49464,53320,"D. S. Correll, H. B. Correll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/16/82,NA,47,47,1982,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America;Florida;Madison,NORTH_AMERICA,NA,NA,NA,US,Florida,Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.68894,-88.03804,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,NA,NA,NA,NA,NA,NA,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,NA,Brassicaceae,NA,NA,NA,Raphanus,Raphanus,NA,NA,raphanistrum,NA,NA,SPECIES,NA,NA,ICN,ACCEPTED,NA,NA,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:21.193Z,NA,NA,NA,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,NA,NA,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,NA,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,NA,EML,2026-01-02T00:03:21.193Z,2026-01-02T00:02:52.795Z,NA,FALSE,NA,NA,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.39_1,Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122995022,NA,NA,en,CC_BY_4_0,NA,NA,NA,NA,PhysicalObject,urn:lsid:biocol.org:col:15568,NA,NA,FTG,Herbarium,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA,4EB0298A-0832-4F53-8EE2-10144A08E3B4,50650,51579,"D. S. Correll, H. B. Correll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/23/81,NA,113,113,1981,4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America;Florida;Levy,NORTH_AMERICA,NA,NA,NA,US,Florida,Levy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.68894,-88.03804,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,NA,NA,NA,NA,NA,NA,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,NA,Brassicaceae,NA,NA,NA,Raphanus,Raphanus,NA,NA,raphanistrum,NA,NA,SPECIES,NA,NA,ICN,ACCEPTED,NA,NA,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:35.671Z,NA,NA,NA,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,NA,NA,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,NA,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,NA,EML,2026-01-02T00:03:35.671Z,2026-01-02T00:02:52.795Z,NA,FALSE,NA,NA,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.37_1,Levy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122995074,NA,NA,en,CC_BY_4_0,NA,NA,NA,NA,PhysicalObject,urn:lsid:biocol.org:col:15568,NA,NA,FTG,Herbarium,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA,10C61E96-84BC-49F2-9E9B-0F3220860CE1,53095,993,A. K. Herndon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/18/83,NA,352,352,1983,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America;Florida;Miami-Dade,NORTH_AMERICA,NA,NA,NA,US,Florida,Miami-Dade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.68894,-88.03804,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,NA,NA,NA,NA,NA,NA,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,NA,Brassicaceae,NA,NA,NA,Raphanus,Raphanus,NA,NA,raphanistrum,NA,NA,SPECIES,NA,NA,ICN,ACCEPTED,NA,NA,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:27.736Z,NA,NA,NA,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,NA,NA,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,NA,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,NA,EML,2026-01-02T00:03:27.736Z,2026-01-02T00:02:52.795Z,NA,FALSE,NA,NA,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.43_1,Miami-Dade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122995160,NA,NA,en,CC_BY_4_0,NA,NA,NA,NA,PhysicalObject,urn:lsid:biocol.org:col:15568,NA,NA,FTG,Herbarium,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA,ACBE915A-F75A-47BE-A64A-89CE0FDAB789,65375,83781,R. K. Godfrey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/6/90,NA,96,96,1990,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America;Florida;Leon,NORTH_AMERICA,NA,NA,NA,US,Florida,Leon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.68894,-88.03804,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,NA,NA,NA,NA,NA,NA,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,NA,Brassicaceae,NA,NA,NA,Raphanus,Raphanus,NA,NA,raphanistrum,NA,NA,SPECIES,NA,NA,ICN,ACCEPTED,NA,NA,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:17.259Z,NA,NA,NA,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,NA,NA,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,NA,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,NA,EML,2026-01-02T00:03:17.259Z,2026-01-02T00:02:52.795Z,NA,FALSE,NA,NA,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.36_1,Leon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122995197,NA,NA,en,CC_BY_4_0,NA,NA,NA,NA,PhysicalObject,urn:lsid:biocol.org:col:15568,NA,NA,FTG,Herbarium,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA,52C48906-CBA7-4AD4-A367-3C707669C3D9,7164,115,J. Popenoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/22/70,NA,81,81,1970,3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NORTH_AMERICA,NA,NA,NA,US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.68894,-88.03804,15000,NA,NA,NA,NA,NA,NA,NA,USFWI,49:40.6,NA,GEOLocate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus sativus L.,NA,NA,NA,NA,NA,NA,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,NA,Brassicaceae,NA,NA,NA,Raphanus,Raphanus,NA,NA,sativus,NA,NA,SPECIES,NA,NA,ICN,ACCEPTED,NA,NA,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:32.743Z,NA,NA,NA,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_UNCERTAINTY_METERS_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,NA,NA,StillImage,TRUE,FALSE,7678610,7678610,6,7707728,220,7225535,3112,3040962,NA,7678610,Raphanus sativus,Raphanus sativus L.,Raphanus sativus,NA,EML,2026-01-02T00:03:32.743Z,2026-01-02T00:02:52.795Z,NA,FALSE,NA,NA,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.24_1,Minnesota,USA.24.19_1,Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122995252,NA,NA,en,CC_BY_4_0,NA,NA,NA,NA,PhysicalObject,urn:lsid:biocol.org:col:15568,NA,NA,FTG,Herbarium,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA,6F859990-F27E-471A-831E-C15367BF39DF,80703,010,E. E. Wise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/23/85,NA,54,54,1985,2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America;Florida;Pasco,NORTH_AMERICA,NA,NA,NA,US,Florida,Pasco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.68894,-88.03804,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,NA,NA,NA,NA,NA,NA,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,NA,Brassicaceae,NA,NA,NA,Raphanus,Raphanus,NA,NA,raphanistrum,NA,NA,SPECIES,NA,NA,ICN,ACCEPTED,NA,NA,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:19.109Z,NA,NA,NA,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,NA,NA,StillImage,TRUE,FALSE,3040983,3040983,6,7707728,220,7225535,3112,3040962,NA,3040983,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,NA,EML,2026-01-02T00:03:19.109Z,2026-01-02T00:02:52.795Z,NA,FALSE,NA,NA,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.51_1,Pasco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122995253,NA,NA,en,CC_BY_4_0,NA,NA,NA,NA,PhysicalObject,urn:lsid:biocol.org:col:15568,NA,NA,FTG,Herbarium,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA,AEA45D8D-2D18-4036-885B-20466DCA8AA3,80849,NA,K. Holland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/17/89,NA,76,76,1989,3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America;Florida;Polk,NORTH_AMERICA,NA,NA,NA,US,Florida,Polk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.68894,-88.03804,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus sativus L.,NA,NA,NA,NA,NA,NA,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,NA,Brassicaceae,NA,NA,NA,Raphanus,Raphanus,NA,NA,sativus,NA,NA,SPECIES,NA,NA,ICN,ACCEPTED,NA,NA,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:31.534Z,NA,NA,NA,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,NA,NA,StillImage,TRUE,FALSE,7678610,7678610,6,7707728,220,7225535,3112,3040962,NA,7678610,Raphanus sativus,Raphanus sativus L.,Raphanus sativus,NA,EML,2026-01-02T00:03:31.534Z,2026-01-02T00:02:52.795Z,NA,FALSE,NA,NA,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.53_1,Polk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122995905,NA,NA,en,CC_BY_4_0,NA,NA,NA,NA,PhysicalObject,urn:lsid:biocol.org:col:15568,NA,NA,FTG,Herbarium,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA,9668E7C6-8C64-40E5-BA57-2C07E1EC31AC,93770,NA,T. R. Alexander,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/10/48,NA,131,131,1948,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America;Florida;Miami-Dade,NORTH_AMERICA,NA,NA,NA,US,Florida,Miami-Dade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.68894,-88.03804,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus sativus L.,NA,NA,NA,NA,NA,NA,Plantae | Magnoliophyta | Brassicaceae,Plantae,Tracheophyta,Magnoliopsida,Brassicales,NA,Brassicaceae,NA,NA,NA,Raphanus,Raphanus,NA,NA,sativus,NA,NA,SPECIES,NA,NA,ICN,ACCEPTED,NA,NA,832cb04e-f762-11e1-a439-00145eb45e9a,US,2026-01-02T00:03:17.842Z,NA,NA,NA,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_COLLECTION_MISMATCH,NA,NA,StillImage,TRUE,FALSE,7678610,7678610,6,7707728,220,7225535,3112,3040962,NA,7678610,Raphanus sativus,Raphanus sativus L.,Raphanus sativus,NA,EML,2026-01-02T00:03:17.842Z,2026-01-02T00:02:52.795Z,NA,FALSE,NA,NA,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.10_1,Florida,USA.10.43_1,Miami-Dade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
