"id","Bud.Cluster","Flower","Fruit","institutionCode","specificEpithet","recordedBy","eventDate","year","month","day","verbatimEventDate","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters"
73443,1,1,2,"SBBG","raphanistrum","Ralph Hoffmann","4/3/30",1930,4,3,"4/3/30","Santa Barbara","Veronica Springs Rd, Santa Barbara",34.413,"-119.742","NAD83",500
202451,0,10,8,"OBI","raphanistrum","R. L. Hoover","4/11/68",1968,4,11,"11-Apr-68","Napa","One block W of hwy 1 on Palm Ave, Marina",36.68435,"-121.80524","WGS84",500
469033,2,7,3,"SD","sativus","Carrie Schneider","4/4/04",2004,4,4,"4/4/04","San Diego","San Diego Canyon: Switzer Canyon, east of 30th St; near the border of North Park and Golden Hill; North of Hwy94 and East of I-805",32.7341,"-117.1285","WGS84",3999
1368041,1,10,0,"DAV","sativus","M. J. Teiman","11/5/78",1978,11,5,"5-Nov-78","Santa Barbara","Santa Barbara County: by Peoples Park on Embarcadero del Norte.",34.409986,"-119.850936","WGS84",3999
1695490,0,3,16,"UCR","sativus","Mitch Provance","6/4/11",2011,6,4,"6/4/11","San Bernardino","Santa Ana River and adjacent flood plain, just W of the La Loma Hills",34.03464,"-117.35422","WGS84",3999
2866505,1,2,1,"MACF","sativus","Barbara Gittins","3/30/63",1963,3,30,"Mar. 30, 1963","San Diego","5 mi. S of Fallbrook near Valley Fort Restaurant",33.322923,"-117.236082","WGS84",476
2401356,1,7,23,"CAS","sativus","McGregor, E. A.","8/25/21",1921,8,25,"Aug. 25, 1921","Del Norte County","Extending southwards from mouth of Klamath River.",41.48253,"-124.03334","WGS84",8000
3275642,3,6,4,"UCJEPS","raphanistrum","Barbara Ertter","2/28/98",1998,2,28,"1-Mar-98","Contra Costa","Diablo Foothills Regional Park, just south end of Shell Ridge Loop Trail southeast of Old Borges Ranch.",37.88732,"-121.99801","WGS84",300
3232355,3,10,4,"UCJEPS","sativus","G. Thomas Robbins","3/26/37",1937,3,26,"Mar 26 1937","Sonoma","along road to Bodega (just e of Bodega)",38.357744,"-122.931016","WGS84",3980
202452,1,9,18,"OBI","raphanistrum","R. L. Hoover","4/20/68",1968,4,20,"20-Apr-68","Napa",".25 mi from Pope Valley jctn, E on Chiles & Pope Valley Rd, in field E of service station",38.61737,"-122.4237","WGS84",250
232773,1,7,7,"UCSC","sativus","unknown","6/3/93",1993,6,3,"3-Jun-93","Santa Cruz","Santa Cruz, UCSC: meadow at top of bike path, Meyer Drive",37.0008,"-122.062","WGS84",3999
6008220,0,6,16,"OBI","sativus","Ray Cardwell","4/17/82",1982,4,17,"4/17/82","San Luis Obispo","Morro Bay salt marsh, 1/4 mile N of Turri Rd and S. Bay Blvd. junction",35.33922,"-120.82336","WGS84 ",300
304555,4,14,16,"UCSB","sativus","Woodbury, Kevin","3/13/78",1978,3,13,"3/13/78","Santa Barbara","On Devereux bluffs on west end of Del Playa Rd., 1/2 mile in and about 150 feet away from Devereux School",34.4099,"-119.8698","NAD83",200
317992,3,13,7,"UCSB","raphanistrum","Kaplan, Lisa","3/7/79",1979,3,7,"3/7/79","Santa Barbara","El Colegio and Los Carneros Rds. Isla Vista",34.434282,"-119.85365","WGS84",1500
3828689,1,3,11,"CHSC","raphanistrum","Lowell Ahart","5/10/19",2019,5,10,"10-May-19","Butte","About 5 yards west of Jordan Hill Road, about 1/2 mile north of the Madre De Oro Gold Mine, west of Concow Reservoir, east of Paradise. T22N, R4E, northwest 1/4 Section 17.",39.763056,"-121.555167","WGS84",3999
469055,5,4,2,"SD","sativus","Jolynn Robbins","7/5/04",2004,7,5,"7/5/04","San Diego","Damon Lane County Park in south El Cajon. South on Jamacha, right on Fury. Then right on Wieghorst, left on Calle Albara.",32.754,"-116.942","WGS84",3999
202453,1,6,15,"OBI","sativus","B. A. Smith","5/18/66",1966,5,18,"18-May-66","San Luis Obispo","Along hwy 1 at Oceano",35.098865,"-120.612393","WGS84",2410
394165,2,15,26,"SDSU","sativus","Stilson, Barbara","4/17/12",2012,4,17,"4/17/12","San Diego","Mission Trails Regional Park, west of Old Mission Dam, San Diego, about 75 ft northeast of bridge, start of Oak Canyon trail.",32.83893,"-117.04566","WGS84",3999
631768,2,7,6,"IRVC","sativus","L. Aldis (HS)","3/27/65",1965,3,27,"27-Mar-65","Orange","Irvine Park",33.796309,"-117.750118","WGS84",986
468962,2,11,14,"SD","sativus","unknown","1884-04-25",1884,4,25,"04/25/1884","San Diego","Chollas Valley",32.72173,"-117.10117","WGS84",2414
1294396,0,4,9,"CSUSB","sativus","Sally Bell","5/10/64",1964,5,10,"10-May-64","Orange","Corona Del Mar, at the State Park Beach, growing at bottom of steps in sandy soil along with Mesembryanthemum crystallinum.",33.59324,"-117.87584","WGS84",400
1368052,0,9,22,"DAV","sativus","M. R. Wanzer","5/6/48",1948,5,6,"6-May-48","Napa","Napa County: Putah Canyon, 8.5 miles west of Winters.",38.62579,"-122.29099","WGS84",1000
1657455,3,3,18,"UCR","raphanistrum","George K. Helmkamp","2/11/04",2004,2,11,"2/11/04","San Luis Obispo","Nipomo Mesa, Pomeroy Rd, 0.2 mi north of Willow Rd.",35.05167,"-120.525","WGS84",3999
2866605,0,3,6,"MACF","raphanistrum","Martha McCarthy","3/20/60",1960,3,20,"20-Mar-60","Orange","1/4 mile west of Highway 91, 1/4 mile from Santa Ana Riverbed.",33.8475,"-117.84332","WGS84",5000
1630048,3,6,4,"UCR","sativus","A.C. Sanders","3/12/10",2010,3,12,"3/12/10","Los Angeles","Madrona Marsh, Torrance",33.82611,"-118.34278","WGS84",3999
3801173,2,3,25,"CSLA","sativus","James Henrickson","3/10/72",1972,3,10,"10-Mar-72","San Diego","ca. 3 mi. SE of La Mesa, 200 ft. So. of jct. of Sweetwater Springs Blvd. & Jamacha Blvd. at Sweetwater Springs",32.7251,"-116.969","WGS84",50
631762,0,2,5,"IRVC","raphanistrum","Janet Bryant (HS)","3/14/65",1965,3,14,"14-Mar-65","Orange","Newport Beach: Redlands Drive and Santa Isabel Street",33.65144,"-117.894274","WGS84",200
5799408,2,17,4,"LOB","sativus","Andrea Orozco","4/13/23",2023,4,13,"4/13/23","Orange","San Juan Capistrano, end of Oso Rd, 15 m south on the Shea Equestrian trail 5 m east of the Arroyo Trabuco.",33.516,"-117.612","WGS84",3999
6072327,1,3,0,"RSA","sativus","Gary Wallace","9/16/92",1992,9,16,"16-Sep-92","Los Angeles","Willow St. access to LA River.",34.03972,"-118.23026","WGS84",300
3425410,2,10,8,"UCJEPS","sativus","Gary W. Zamzow","1/26/73",1973,1,26,"Jan 26 1973","Contra Costa","300 m. s. of Central Ave. overpass & 100 m. w. of Hoffman Blvd. Richmond (landfill at edge of Bay)",37.898448," −122.313558","WGS84",174
202472,3,14,22,"OBI","sativus","Joan Coffey","5/16/72",1972,5,16,"16-May-72","San Luis Obispo","1400 River Rd, Atascadero",35.50601,"-120.65526","WGS84",400
