gbifID,locality,verbatimLocality,mismatch_type,decimalLatitude_txt,decimalLongitude_txt,coordinateUncertaintyInMeters_txt,decimalLatitude_csv,decimalLongitude_csv,coordinateUncertaintyInMeters_csv
3820632262,Garibaldi.,,txt_has_coords_csv_no_coords,45.56,-123.9097,402.0,,,
3820523935,Garibaldi.,,txt_has_coords_csv_no_coords,45.56,-123.9097,402.0,,,
4857279242,Berkeley,,txt_has_coords_csv_no_coords,37.87167,-122.27167,,,,
4857174955,Berkeley,,txt_has_coords_csv_no_coords,37.87167,-122.27167,,,,
3454989787,Martha's Vineyard,,txt_has_coords_csv_no_coords,41.38124,-70.650471,5421.0,,,
4010710685,"Northampton, Daymon Road near railroad.",,txt_no_coords_csv_has_coords,,,,42.338,-72.63613,70
1851677291,"University of Florida,, Gainesville","USA | Florida | Alachua | University of Florida,, Gainesville",txt_no_coords_csv_has_coords,,,,29.64024,-82.35391,1800
3406827741,Pomona.,,txt_has_coords_csv_no_coords,34.05547,-117.74912,3218.0,,,
2270210090,Lompoc,,txt_no_coords_csv_has_coords,,,,34.6392,-120.4569,3000
4955504342,Cumberland,Cumberland,txt_has_coords_csv_no_coords,41.96666,-71.43277,20000.0,,,
4507453481,Chester,,txt_has_coords_csv_no_coords,39.849557,-75.355746,1500.0,,,
5198194850,Just south of Bandon along Mars Lane by its intersection with Rohrer Road.,,txt_no_coords_csv_has_coords,,,,43.087215,-124.432799,805
3766309223,WEED IN PECAN ORCHARD WSW OF VALDOSTA.,,txt_no_coords_csv_has_coords,,,,30.78845,-83.35866,4000
3125049356,Palos Verdes,,txt_has_coords_csv_no_coords,33.75995,-118.36373,6500.0,,,
3710063875,"Lee County, AL",,txt_no_coords_csv_has_coords,,,,30.25525,-88.11949,30000
3709852018,"Lee County, AL",,txt_no_coords_csv_has_coords,,,,30.25525,-88.11949,30000
5103889408,"U.F. camps, Gainesville, beside Hull Rd. 2 mi east of 34th street.",,txt_no_coords_csv_has_coords,,,,29.63975,-82.34903,2200
1503312320,US 41 near its intersection with FL 54.,US 41 near its intersection with FL 54.,txt_no_coords_csv_has_coords,,,,28.19175,-82.46579,150
1503312295,US 41 near its intersection with FL 54.,US 41 near its intersection with FL 54.,txt_no_coords_csv_has_coords,,,,28.19175,-82.46579,150
4069742238,"Shaw Mill Rd., 1 mi. SW of Dewey Corner.",,txt_has_coords_csv_no_coords,44.87306,-122.87083,,,,
5070543295,"MD-3, 0.5 mi. N of Benfield Blvd",,txt_no_coords_csv_has_coords,,,,39.10225,-76.62701,450
5070543287,"Trimble Road, 0.5 mi. E of Magnolia Rd, 20 ft. from road",,txt_no_coords_csv_has_coords,,,,39.41584,-76.3169,80
1998412950,"[Narvaez] St., 2 blocks N. of Bienville Blvd.","[Narvaez] St., 2 blocks N. of Bienville Blvd.",txt_no_coords_csv_has_coords,,,,30.25525,-88.11949,120
1503232675,W side GA 67; margin of Black Creek; 1.5 mi. NW of C-317; SE of Statesboro; 5.8 mi. SE of Lotts Creek crossing.,W side GA 67; margin of Black Creek; 1.5 mi. NW of C-317; SE of Statesboro; 5.8 mi. SE of Lotts Creek crossing.,txt_no_coords_csv_has_coords,,,,32.17809,-81.46327,2800
1998401924,South Harpswell,South Harpswell,txt_no_coords_csv_has_coords,,,,43.74164,929.98578,1000
1849158609,Carolina Sandhills National Wildlife Refuge,,txt_no_coords_csv_has_coords,,,,34.582977,-80.234471,550
1849120333,Carolina Sandhills National Wildlife Refuge,,txt_has_coords_csv_no_coords,34.582977,-80.234471,550.0,,,
1978078169,Along I-20 and I-59 one mile north of Fosters Exit and just south of the Black Warrior River south of Tuscaloosa.,,txt_no_coords_csv_has_coords,,,,33.11418,-87.65281,400
1807240548,"Hills Corner, Lincolnville",,txt_no_coords_csv_has_coords,,,,44.32218,-69.07054,2000
1269671072,"403 Stevenson Drive, N of Monroe.",,txt_no_coords_csv_has_coords,,,,32.58401,-92.06289,50
4075454272,"along New Spring Road, 1 mi W of Elsmere",,txt_no_coords_csv_has_coords,,,,39.73536,-75.62553,1200
3808949312,Hayward,,txt_no_coords_csv_has_coords,,,,37.64482,-122.09382,2301
4075454266,W of Elsmere,,txt_no_coords_csv_has_coords,,,,39.73536,-75.62553,4000
1317467273,"Greenspring Ave. and Hillside Rd, Cornfield",,txt_no_coords_csv_has_coords,,,,39.41305,-76.68807,200
4433286375,"Just n. of Grindel Pt., Islesboro",,txt_no_coords_csv_has_coords,,,,44.28479,-68.93697,650
5207750301,"Corvallis; along S. 3rd St., by junction with Richland Ave., on west side of street by bus stop.",,txt_no_coords_csv_has_coords,,,,44.54222,-123.26641,
5198185854,"Corvallis; along S. 3rd St., by junction with Richland Ave., on west side of street by bus stop.",,txt_no_coords_csv_has_coords,,,,44.54222,-123.26641,
4912250315,"Corvallis; along S. 3rd St., by junction with Richland Ave., on west side of street by bus stop.",,txt_has_coords_csv_no_coords,44.54222,-123.26641,,,,
2512754491,Ludoviciana. On ballast ground. Port Eads.,,txt_no_coords_csv_has_coords,,,,29.01519,-89.16681,1500
2512865335,The Vicinity of Green's Farms.,,txt_no_coords_csv_has_coords,,,,41.12696,-73.31896,2350
1269671063,"Along LA 16, 5.2 road miles west of Tchefuncte River. East of Holton.",,txt_no_coords_csv_has_coords,,,,30.74453,-90.34922,100
1269671078,"Southeastern/SLU campus; Southeastern Louisiana University campus, at entrance to North Campus Recreational Complex along N Oak St., Hammond.",,txt_no_coords_csv_has_coords,,,,30.52143,-90.46952,400
5103889465,South of La. 15 on Richland Plantation 1.5 miles west of Rhymes and L. 133.,,txt_no_coords_csv_has_coords,,,,32.37786,-91.92486,1500
1986922321,Persimmon Tree Road; Potomac  1/2 mile southeast of Potomac Village.,,txt_no_coords_csv_has_coords,,,,39.01095,-77.20196,250
5070543303,"Edgewood Senior High School, near railroad tracks",,txt_no_coords_csv_has_coords,,,,39.42144,-76.28485,280
4069038162,Wilbraham; jeep road running south from junction of Monson Rd. and Ridge Rd.; south of Wigwam Hill.,,txt_no_coords_csv_has_coords,,,,42.10932,-72.41191,450
5103891837,"403 Stevenson Drive, N. of Monroe, La.",,txt_no_coords_csv_has_coords,,,,32.58401,-92.06289,50
4069711775,West side of Mt. Hood.,,txt_has_coords_csv_no_coords,42.11333,-120.4925,,,,
1990244824,4 miles west of Wilson,,txt_has_coords_csv_no_coords,35.715175,-77.915595,20000.0,,,
1990244797,4 miles west of Wilson,,txt_no_coords_csv_has_coords,,,,35.715175,-77.915595,20000
1998806939,Truro,Truro,txt_no_coords_csv_has_coords,,,,42.2994,-71.12395,1000
2859349265,"Buckhorn Hunting Club, near Saranac Oil & Gas Field",,txt_no_coords_csv_has_coords,,,,32.015,-91.36488,500
2859090389,"Buckhorn Hunting Club, near Saranac Oil & Gas Field",,txt_no_coords_csv_has_coords,,,,32.015,-91.36488,500
1929201827,"Latimer's Point, between Mystic and Stonington, on Fisher's Island Sound",,txt_no_coords_csv_has_coords,,,,41.33543,-71.95098,375
5159149277,"South of LA 15 on Richland Plantation, 1.5 mi E of Rhymes and LA 133.",,txt_no_coords_csv_has_coords,,,,32.37786,-91.92486,1500
1269671076,"South of LA 15 on Richland Plantation, 1.5 mi E of Rhymes and LA 133.",,txt_no_coords_csv_has_coords,,,,32.37786,-91.92486,1500
3709855196,"Escambia County, AL",,txt_no_coords_csv_has_coords,,,,31.0451,-85.87446,48500
