url,occid,has_image
https://cch2.org/portal/collections/individual/index.php?occid=1005302,1005302,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1007750,1007750,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1012091,1012091,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1019723,1019723,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1024091,1024091,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1038859,1038859,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1045059,1045059,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1045591,1045591,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1045951,1045951,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1047487,1047487,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1049270,1049270,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1049760,1049760,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1056531,1056531,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1062233,1062233,Image present
https://cch2.org/portal/collections/individual/index.php?occid=106233,106233,No image
https://cch2.org/portal/collections/individual/index.php?occid=1064654,1064654,Image present
https://cch2.org/portal/collections/individual/index.php?occid=106537,106537,No image
https://cch2.org/portal/collections/individual/index.php?occid=1068117,1068117,Image present
https://cch2.org/portal/collections/individual/index.php?occid=107786,107786,No image
https://cch2.org/portal/collections/individual/index.php?occid=1078648,1078648,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1079969,1079969,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1091776,1091776,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1092827,1092827,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1092848,1092848,Image present
https://cch2.org/portal/collections/individual/index.php?occid=110889,110889,No image
https://cch2.org/portal/collections/individual/index.php?occid=1109834,1109834,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1109866,1109866,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1113607,1113607,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1114974,1114974,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1116413,1116413,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1123184,1123184,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1123870,1123870,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1133685,1133685,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1135332,1135332,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1135498,1135498,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1136130,1136130,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1142685,1142685,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1145586,1145586,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1146969,1146969,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1147528,1147528,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1153085,1153085,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1156433,1156433,Image present
https://cch2.org/portal/collections/individual/index.php?occid=116271,116271,No image
https://cch2.org/portal/collections/individual/index.php?occid=1166795,1166795,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1177657,1177657,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1184063,1184063,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1192564,1192564,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1193190,1193190,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1194214,1194214,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1201106,1201106,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1201734,1201734,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1202206,1202206,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1208522,1208522,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1211305,1211305,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1213435,1213435,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1219161,1219161,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1224957,1224957,Image present
https://cch2.org/portal/collections/individual/index.php?occid=1239382,1239382,Image present
https://cch2.org/portal/collections/individual/index.php?occid=124275,124275,No image
https://cch2.org/portal/collections/individual/index.php?occid=1249156,1249156,Image present
https://cch2.org/portal/collections/individual/index.php?occid=128858,128858,No image
https://cch2.org/portal/collections/individual/index.php?occid=130694,130694,No image
https://cch2.org/portal/collections/individual/index.php?occid=132624,132624,No image
https://cch2.org/portal/collections/individual/index.php?occid=141265,141265,No image
https://cch2.org/portal/collections/individual/index.php?occid=147598,147598,No image
https://cch2.org/portal/collections/individual/index.php?occid=150366,150366,No image
https://cch2.org/portal/collections/individual/index.php?occid=1512711,1512711,No image
https://cch2.org/portal/collections/individual/index.php?occid=152436,152436,No image
