gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
894984655	StillImage	image/jpeg	https://digitallibrary.uleth.ca/digital/api/singleitem/image/herbarium/12153/default.jpg											
894984604	StillImage	image/jpeg	https://digitallibrary.uleth.ca/digital/api/singleitem/image/herbarium/12151/default.jpg											
894984579	StillImage	image/jpeg	https://digitallibrary.uleth.ca/digital/api/singleitem/image/herbarium/12150/default.jpg											
5994419568	StillImage	image/jpeg	http://ipt.nature.ca/multimedia/510/518/CAN10216965_2025-12-29.jpg		CAN 10216965				2025-12-29T00:00:00Z	Galyna Vakulenko		Canadian Museum of Nature	http://creativecommons.org/licenses/by-nc/4.0/	©Canadian Museum of Nature
5937711436	StillImage	image/jpeg	https://bry.byu.edu/Herbarium/imgbry/03/0306/BRYV0306441_lg.jpg										http://creativecommons.org/licenses/by-nc/4.0/	Brigham Young University
5937677303	StillImage	image/jpeg	https://cch2.org/media/STNF/STNF03/STNF03871.jpg										http://creativecommons.org/publicdomain/zero/1.0/	STNF - Shasta-Trinity National Forest Herbarium (STNF-)
5900701147	StillImage	image/jpeg	https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0655/RSA0655256.jpg										http://creativecommons.org/licenses/by-nc/4.0/	RSA - California Botanic Garden Herbarium (RSA-VascularPlants)
5889171835	StillImage	image/jpeg	https://web.corral.tacc.utexas.edu/torch/TAC/TAC0001000/TAC01389.jpg										http://creativecommons.org/publicdomain/zero/1.0/	Botanical Research Institute of Texas
5886721746	StillImage	image/jpeg	"https://neherbaria.org/media/StateUniversityofNewYork,Oswego_OSW/OSW0035/OSW0035719.jpg"										http://creativecommons.org/licenses/by-nc/4.0/	SUNY Oswego
5836322208	StillImage	image/jpeg	https://cdn.floridamuseum.ufl.edu/Herbarium/31c6de21-3752-4358-bd6f-d2d94bc69e77		Raphanus sativus	295328.jpg				University of Florida Herbarium			http://creativecommons.org/licenses/by-nc/4.0/	Florida Museum of Natural History Herbarium - University of Florida
5836321492	StillImage	image/jpeg	https://cdn.floridamuseum.ufl.edu/Herbarium/86a78522-b891-4781-88f0-e40980452d8f		Raphanus sativus	295329.jpg				University of Florida Herbarium			http://creativecommons.org/licenses/by-nc/4.0/	Florida Museum of Natural History Herbarium - University of Florida
5833124723	StillImage	image/jpeg	https://cch2.org/media/UCSC/UCSC100016/UCSC100016972.jpg										http://creativecommons.org/licenses/by-nc/4.0/	"UCSC Herbarium - Kenneth S. Norris Center for Natural History, University of California Santa Cruz (UCSC-)"
5758873790	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/USF/305872.jpg		"Raphanus raphanistrum L. - USA, Florida (BARCODE: 305872) - USF Herbarium"								http://creativecommons.org/licenses/by-nc-sa/4.0/	University of South Florida Herbarium (USF)
5758873315	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/USF/305871.jpg		"Raphanus raphanistrum L. - USA, Florida (BARCODE: 305871) - USF Herbarium"								http://creativecommons.org/licenses/by-nc-sa/4.0/	University of South Florida Herbarium (USF)
5295083176				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/upcb/upcb/0/8/21/5/upcb00082105.dzi									Creative Commons	UPCB
5294112234	StillImage	image/jpeg	https://cch2.org/media/UCSC/UCSC100016/UCSC100016571.jpg										http://creativecommons.org/licenses/by-nc/4.0/	"UCSC Herbarium - Kenneth S. Norris Center for Natural History, University of California Santa Cruz (UCSC-)"
5208943620	StillImage	image/jpeg	https://media01.symbiota.org/media/cch2/UCSB/UCSB072/UCSB072715.jpg										http://creativecommons.org/publicdomain/zero/1.0/	UCSB - University of California Santa Barbara Herbarium (UCSB)
5207750301	StillImage	image/jpeg	https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0654/RSA0654396.jpg										http://creativecommons.org/licenses/by-nc/4.0/	RSA - California Botanic Garden Herbarium (RSA-VascularPlants)
5198257856	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/7c/de/7cdec34e-0c5f-4ffe-a68b-a916166024b1.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198256842	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/da/52/da52572a-b521-4a17-91f7-2305fdf6eb26.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198256841	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/b1/2d/b12d4810-f2e7-4b1f-9bcc-f3064bc04b34.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198227852	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/3b/36/3b365763-1afa-46d8-b39f-7c1017a969d1.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198226846	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/0a/af/0aaf9b43-4b83-469f-81d2-7f464e19c552.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198226845	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/5a/c3/5ac3d889-8409-49a7-898f-abf3c97c87b7.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198224849	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/e0/0a/e00adeba-f819-4455-9a55-32b4baef590a.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198222848	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/bd/91/bd9136dd-ae21-4b6b-a9c4-a4462925ab3d.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198218870	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/82/b5/82b5061a-ce8f-4318-87c1-51a22fc8f754.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198215850	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/f8/92/f892b072-bbc5-441c-acdc-f29bca25bd26.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198215849	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/87/69/8769d99a-3653-4da5-8bef-921e67d91729.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198194851	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/e4/b4/e4b43a96-3422-413c-ae41-72ebc9fc2a6e.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
5198194850	StillImage	image/jpeg	https://ibss-images.calacademy.org/static/botany/originals/75/3a/753a9e01-a305-4707-8bc8-e0660a126626.jpg										http://creativecommons.org/publicdomain/zero/1.0/	
