gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	taxonomicIssue	nonTaxonomicIssue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	isInvasive	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
894984655			en	CC0_1_0				University of Lethbridge Herbarium	PhysicalObject	http://grscicoll.org/institution/university-lethbridge	https://www.gbif.org/grscicoll/collection/281693a5-fba9-4040-82c3-cc6a4116e186	https://doi.org/10.5886/wrt547hq	University of Lethbridge	LEA	University of Lethbridge Herbarium (LEA)	University of Lethbridge	PRESERVED_SPECIMEN				12153	12153	12	S. Jones															PRESENT																							1968-04-20		111	111	1968	4	20		Bordering a barnyard area						Pod constricted between seeds; fls. 3/4 in. in diameter, white fls.				NORTH_AMERICA				US	California			Located 2 mi e of Dairyville																																																				4101								Raphanus sativus L.	Raphanus sativus Linnaeus							Plantae	Tracheophyta	Magnoliopsida	Brassicales		Brassicaceae				Raphanus	Raphanus			sativus			SPECIES		garden radish | radis cultivé | cultivated radish | radis		ACCEPTED			5678b0b3-450b-4513-82e1-2b32c3c50b54	CA	2025-11-25T04:45:46.895Z						TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY			StillImage	false	false	7678610	7678610	6	7707728	220	7225535	3112	3040962		7678610	Raphanus sativus	Raphanus sativus L.	Raphanus sativus L.		EML	2025-11-25T04:45:46.895Z	2025-11-18T12:15:18.458Z		true			false	NORTH_AMERICA	NORTH_AMERICA									
894984604			en	CC0_1_0				University of Lethbridge Herbarium	PhysicalObject	http://grscicoll.org/institution/university-lethbridge	https://www.gbif.org/grscicoll/collection/281693a5-fba9-4040-82c3-cc6a4116e186	https://doi.org/10.5886/wrt547hq	University of Lethbridge	LEA	University of Lethbridge Herbarium (LEA)	University of Lethbridge	PRESERVED_SPECIMEN				12151	12151	3	G.D. Strausbaugh															PRESENT						Brassica spp.		Locally abundant															1968-03-08		68	68	1968	3	8		Soil rocky red clay						Plant with scattered stiff hairs, corolla white with purple veins. Root tastes like radish.				NORTH_AMERICA				US	California			e side bus loop 5, ca. 7 mi s Redding City limit sign		500 feet																																																										Raphanus raphanistrum L.								Plantae	Tracheophyta	Magnoliopsida	Brassicales		Brassicaceae				Raphanus	Raphanus			raphanistrum			SPECIES				ACCEPTED			5678b0b3-450b-4513-82e1-2b32c3c50b54	CA	2025-11-25T04:45:46.877Z	152.0	0.0				TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY			StillImage	false	false	3040983	3040983	6	7707728	220	7225535	3112	3040962		3040983	Raphanus raphanistrum	Raphanus raphanistrum L.	Raphanus raphinistrum L.		EML	2025-11-25T04:45:46.877Z	2025-11-18T12:15:18.458Z		true			false	NORTH_AMERICA	NORTH_AMERICA									
894984579			en	CC0_1_0				University of Lethbridge Herbarium	PhysicalObject	http://grscicoll.org/institution/university-lethbridge	https://www.gbif.org/grscicoll/collection/281693a5-fba9-4040-82c3-cc6a4116e186	https://doi.org/10.5886/wrt547hq	University of Lethbridge	LEA	University of Lethbridge Herbarium (LEA)	University of Lethbridge	PRESERVED_SPECIMEN				12150	12150	87018	H.E. Ahles															PRESENT																							1979-07-05		186	186	1979	7	5		waste ground										NORTH_AMERICA				US	Massachusetts			Daymon Road near railroad, Northampton																																																												Raphanus raphanistrum L.								Plantae	Tracheophyta	Magnoliopsida	Brassicales		Brassicaceae				Raphanus	Raphanus			raphanistrum			SPECIES				ACCEPTED			5678b0b3-450b-4513-82e1-2b32c3c50b54	CA	2025-11-25T04:45:46.866Z						TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY			StillImage	false	false	3040983	3040983	6	7707728	220	7225535	3112	3040962		3040983	Raphanus raphanistrum	Raphanus raphanistrum L.	Raphanus raphinistrum L.		EML	2025-11-25T04:45:46.866Z	2025-11-18T12:15:18.458Z		true			false	NORTH_AMERICA	NORTH_AMERICA									
684010174	http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms			CC_BY_4_0	2012-06-28T03:37:32Z					http://grbio.org/cool/iakn-125z	https://scientific-collections.gbif.org/collection/391b7724-b7a5-4510-963b-d9a8a48dc4f8		KU	KANU	R. L. McGregor Herbarium Vascular Plants Collection		PRESERVED_SPECIMEN				04fec7b1-ba8b-11e3-8cfe-90b11c41863e	368805		Caleb A Morse															PRESENT								Planted in vegetable garden. Petals whitish to pale pink.														s.n.	2009-06-03		154	154	2009	6	3								Planting behind private residence at 1046 Ohio St.			United States, Kansas, Douglas	NORTH_AMERICA				US	Kansas	Douglas		Lawrence, at 1046 Ohio Street		900 ft							38.9641	-95.2404				0							GPS																									Caleb A Morse														Raphanus sativus L.								Plantae	Tracheophyta	Magnoliopsida	Brassicales		Brassicaceae				Raphanus	Raphanus			sativus			SPECIES				ACCEPTED			95c938a8-f762-11e1-a439-00145eb45e9a	US	2025-12-01T20:00:31.546Z										true	false	7678610	7678610	6	7707728	220	7225535	3112	3040962		7678610	Raphanus sativus	Raphanus sativus L.	Raphanus sativus		EML	2025-12-01T20:00:31.546Z	2025-12-01T19:51:56.951Z		false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.17_1	Kansas	USA.17.23_1	Douglas			
684010173	http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms			CC_BY_4_0	2012-06-28T03:37:17Z					http://grbio.org/cool/iakn-125z	https://scientific-collections.gbif.org/collection/391b7724-b7a5-4510-963b-d9a8a48dc4f8		KU	KANU	R. L. McGregor Herbarium Vascular Plants Collection		PRESERVED_SPECIMEN				0cdd26ba-ba8b-11e3-8cfe-90b11c41863e	368804		Caleb A Morse															PRESENT								Planted in vegetable garden. Petals whitish to pale pink.														s.n.	2009-06-03		154	154	2009	6	3								Planting behind private residence at 1046 Ohio St.			United States, Kansas, Douglas	NORTH_AMERICA				US	Kansas	Douglas		Lawrence, at 1046 Ohio Street		900 ft							38.9641	-95.2404				0							GPS																									Caleb A Morse														Raphanus sativus L.								Plantae	Tracheophyta	Magnoliopsida	Brassicales		Brassicaceae				Raphanus	Raphanus			sativus			SPECIES				ACCEPTED			95c938a8-f762-11e1-a439-00145eb45e9a	US	2025-12-01T20:00:59.683Z										true	false	7678610	7678610	6	7707728	220	7225535	3112	3040962		7678610	Raphanus sativus	Raphanus sativus L.	Raphanus sativus		EML	2025-12-01T20:00:59.683Z	2025-12-01T19:51:56.951Z		false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.17_1	Kansas	USA.17.23_1	Douglas			
623657180	http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms			CC_BY_4_0	2012-05-25T12:28:24Z					http://grbio.org/cool/iakn-125z	https://scientific-collections.gbif.org/collection/391b7724-b7a5-4510-963b-d9a8a48dc4f8		KU	KANU	R. L. McGregor Herbarium Vascular Plants Collection		PRESERVED_SPECIMEN				0c5dc2cc-ba8b-11e3-8cfe-90b11c41863e	368274		Caleb A Morse															PRESENT								One of several individuals planted in bed. Petals pink. Sheet 1 of 2.														s.n.	2011-07-24		205	205	2011	7	24								Planting behind private residence at 1046 Ohio St.			United States, Kansas, Douglas	NORTH_AMERICA				US	Kansas	Douglas		Lawrence, at 1046 Ohio Street		900 ft							38.9641	-95.2404				0							GPS																									Caleb A Morse														Raphanus raphanistrum L.								Plantae	Tracheophyta	Magnoliopsida	Brassicales		Brassicaceae				Raphanus	Raphanus			raphanistrum			SPECIES				ACCEPTED			95c938a8-f762-11e1-a439-00145eb45e9a	US	2025-12-01T20:00:14.857Z										true	false	3040983	3040983	6	7707728	220	7225535	3112	3040962		3040983	Raphanus raphanistrum	Raphanus raphanistrum L.	Raphanus raphanistrum		EML	2025-12-01T20:00:14.857Z	2025-12-01T19:51:56.951Z		false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.17_1	Kansas	USA.17.23_1	Douglas			
623657179	http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms			CC_BY_4_0	2012-05-25T12:28:43Z					http://grbio.org/cool/iakn-125z	https://scientific-collections.gbif.org/collection/391b7724-b7a5-4510-963b-d9a8a48dc4f8		KU	KANU	R. L. McGregor Herbarium Vascular Plants Collection		PRESERVED_SPECIMEN				04ac9179-ba8b-11e3-8cfe-90b11c41863e	368275		Caleb A Morse															PRESENT								One of several individuals planted in bed. Petals pink. Sheet 2 of 2.														s.n.	2011-07-24		205	205	2011	7	24								Planting behind private residence at 1046 Ohio St.			United States, Kansas, Douglas	NORTH_AMERICA				US	Kansas	Douglas		Lawrence, at 1046 Ohio Street		900 ft							38.9641	-95.2404				0							GPS																									Caleb A Morse														Raphanus raphanistrum L.								Plantae	Tracheophyta	Magnoliopsida	Brassicales		Brassicaceae				Raphanus	Raphanus			raphanistrum			SPECIES				ACCEPTED			95c938a8-f762-11e1-a439-00145eb45e9a	US	2025-12-01T20:00:50.884Z										true	false	3040983	3040983	6	7707728	220	7225535	3112	3040962		3040983	Raphanus raphanistrum	Raphanus raphanistrum L.	Raphanus raphanistrum		EML	2025-12-01T20:00:50.884Z	2025-12-01T19:51:56.951Z		false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.17_1	Kansas	USA.17.23_1	Douglas			
5994419568		Raphanus sativus (CAN 10216965)		CC_BY_4_0	2025-12-31T10:59:00Z			Canadian Museum of Nature		http://biocol.org/urn:lsid:biocol.org:col:34935	http://grbio.org/cool/4w1m-4a6d	https://doi.org/10.15468/88qq3e	CMN	CAN	Vascular Plant;Arctic Digitization		PRESERVED_SPECIMEN				4a92c193-e1c9-4cda-8ee3-d138dffe0e60	CAN 10216965	7543																PRESENT	sheet																																					CAN 10216965							US	Alaska (State)																																																															Raphanus sativus L.							Plantae | Tracheophyta | Magnoliopsida | Brassicales | Brassicaceae | Raphanus |	Plantae	Tracheophyta	Magnoliopsida	Brassicales		Brassicaceae				Raphanus	Raphanus			sativus			SPECIES				ACCEPTED			1e61b812-b2ec-43d0-bdbb-8534a761f74c	CA	2026-01-16T18:13:53.821Z									StillImage	false	false	7678610	7678610	6	7707728	220	7225535	3112	3040962		7678610	Raphanus sativus	Raphanus sativus L.	Raphanus sativus		EML	2026-01-16T18:13:53.821Z	2026-01-16T18:03:42.856Z		true			false	NORTH_AMERICA	NORTH_AMERICA									
5956697363	"<a href=""http://www.vertnet.org/resources/norms.html"">http://www.vertnet.org/resources/norms.html</a"			CC_BY_NC_4_0	2025-11-21T16:33:42Z		https://pacific.symbiota.org/portal/collections/individual/index.php?occid=483655	Bernice Puahi Bishop Museum			a1eacc23-81c2-4e52-9234-1d9b727e7a5b		BISH			BPBM	PRESERVED_SPECIMEN				80933	80933	135	Ishikawa, S.															PRESENT		in collection					BISH1137487	herb to 1.5', flowers yellow, leaves lobed. Silique cylindrical w/beaked tip															1972-08-30		243	243	1972	8	30	30-Aug-72	w/Leucaena, Ricinus, Amaranthus and various grasses													Molokai	US	Hawaii			Halawa Valley, end of jeep road where stream meets sea		0 m																																											NotAType	Herbst, D.R.; Sohmer, S.H.; Wagner, W.L.		1985-01-01T00:00:00				10997								Raphanus sativus L.							Organism|Plantae|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus	Plantae	Tracheophyta	Magnoliopsida	Brassicales		Brassicaceae				Raphanus	Raphanus			sativus			SPECIES				ACCEPTED			cfb43618-1423-4031-b3ff-fbd2c264f48b	US	2026-01-13T15:41:08.321Z						TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_NONE				false	false	7678610	7678610	6	7707728	220	7225535	3112	3040962		7678610	Raphanus sativus	Raphanus sativus L.	Raphanus sativus		DWC_ARCHIVE	2026-01-13T15:41:08.321Z	2026-01-13T15:27:04.947Z		false			false	NORTH_AMERICA	NORTH_AMERICA									
5956688346	"<a href=""http://www.vertnet.org/resources/norms.html"">http://www.vertnet.org/resources/norms.html</a"			CC_BY_NC_4_0	2025-11-21T16:34:03Z		https://pacific.symbiota.org/portal/collections/individual/index.php?occid=1612471	Bernice Puahi Bishop Museum			a1eacc23-81c2-4e52-9234-1d9b727e7a5b		BISH			BPBM	PRESERVED_SPECIMEN				731136	731136	H120631	Oppenheimer, H.L.															PRESENT		in collection					BISH1137486	Locally common.; Tap rooted herbs; petals yellow.															2006-12-09		343	343	2006	12	9	9-Dec-06	In grassy areas behind the shoreline.													Molokai	US	Hawaii			Halawa Valley		3 m																																											NotAType	Kennedy, B.						10997								Raphanus sativus L.							Organism|Plantae|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Raphanus	Plantae	Tracheophyta	Magnoliopsida	Brassicales		Brassicaceae				Raphanus	Raphanus			sativus			SPECIES				ACCEPTED			cfb43618-1423-4031-b3ff-fbd2c264f48b	US	2026-01-13T15:41:07.827Z	3.0					TAXON_ID_NOT_FOUND;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE				false	false	7678610	7678610	6	7707728	220	7225535	3112	3040962		7678610	Raphanus sativus	Raphanus sativus L.	Raphanus sativus		DWC_ARCHIVE	2026-01-13T15:41:07.827Z	2026-01-13T15:27:04.947Z		false			false	NORTH_AMERICA	NORTH_AMERICA									
